ISRC,Chartmetric ID,Track Name,Artists,Tags,Genres,Genre IDs,Moods,Activities
QZTB82454126,135450226.0,,"Khushi TDT, Lash curry, Audiocrackerr",,,,,
IN-V11-98-00031,,,,,,,,
USUM71911283,24138628.0,,"Shawn Mendes, Camila Cabello",,,,,
INA092519846,143176364.0,"Aazaadi (From ""Thandel"")","Devi Sri Prasad, Nakul Abhyankar, Shree Mani",telugu,telugu,501819,"patriotic, anthemic, motivational, uplifting",
IN-V11-99-00298,,,,,,,,
FR59R1872973,20345691.0,,"Sidhu Moose Wala, Byg Byrd",,,,,
INT100200009,13223573.0,,"Alka Yagnik, Udit Narayan",,,,,
INY090900003,16608844.0,,"Pritam, Mohit Chauhan, Sandeep Shrivastava",,,,,
DGA0L2426350,137286552.0,Snake,"Cheema Y, Gur Sidhu",punjabi,punjabi,501717,"chill, powerful, hype, vibrant, heavy, smooth","workout, cruising, driving, summer, urban"
INY242410350,,,,,,,,
IN-V11-98-00029,,,,,,,,
INM129400226,13218042.0,Yeh Haseen Vadiyan Yeh Khula Aasman,"A.R. Rahman, S. P. Balasubrahmanyam, K. S. Chithra","bollywood, south asian classical, pakistani fusion, indian fusion","bollywood, south asian classical, indian fusion, pakistani fusion","501219, 503287, 507684, 507755","affectionate, cathartic, celebratory, heartwarming, nostalgic","soft, sleep, morning"
INUM72400459,120956071.0,nadaaniyan,Akshath,"pakistani fusion, indian fusion, south asian classical, new romantic, bollywood, indie, indian","bollywood, indian, indie, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 501540, 501541, 503287, 507684, 507743, 507755","emotional, affectionate, heartwarming, nostalgic",daydreaming
INS180131111,22537491.0,,Shankar Mahadevan,,,,,
USUG12501277,144470827.0,Run It Up,Hanumankind,"alternative, dance, pop, rock, electronic, indie, hip-hop/rap","pop, hip-hop/rap, rock, electronic, alternative, dance, indie","501120, 501121, 501122, 501124, 501132, 501146, 501541","energetic, hype","urban, workout"
INT100100001,13223533.0,Jo Bhi Kasmein,Alka Yagnik,bollywood,bollywood,501219,"affectionate, heartwarming, intimate, yearning, nostalgic","lofi, driving, morning"
INH109438860,13216323.0,"Yeh Sham Mastani (From ""Kati Patang"")","Kishore Kumar, R. D. Burman","playback, south asian classical, bollywood","bollywood, south asian classical, playback","501219, 503287, 505383","happy, cheerful, nostalgic, reminiscing, uplifting",vacation
INS170900404,13220508.0,,"Pritam, Neeraj Shridhar",,,,,
INS180500072,17283557.0,Aashiq Banaya Aapne,"Himesh Reshammiya, Shreya Ghoshal","bollywood, south asian classical","bollywood, south asian classical","501219, 503287","affectionate, bittersweet, longing, melancholic, nostalgic","soft, driving, wind"
INU252204113,82598883.0,The Last Ride,Sidhu Moose Wala,"punjabi, punjabi trap, indian hip-hop/rap, pakistani fusion","indian hip-hop/rap, punjabi, pakistani fusion, punjabi trap","501221, 501717, 507755, 507791","chill, empowering, intense, reflective, soulful, tense",drinking
INS172308525,110974825.0,"Hungry Cheetah (From ""They Call Him OG"")",Thaman S,"telugu, tamil","tamil, telugu","501811, 501819","energetic, epic, exciting, adventurous, aggressive, dramatic, powerful","workout, background, running, beach, exercise, gaming, summer"
INS182302608,111650944.0,"Oonchi Oonchi Deewarein (From ""Yaariyan 2"")","Manan Bhardwaj, Arijit Singh","bollywood, pakistani fusion, south asian classical, new romantic, indian fusion","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, intimate, heartwarming","soft, sleep"
INS181401228,16809265.0,Aaj Phir,"Arijit Singh, Samira Koppikar","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, emotional, heartwarming","sleep, soft, lofi, study"
INP532400043,119290592.0,Rangrez,"Lakhwinder Wadali, Ustad Puran Chand Wadali",bollywood,bollywood,501219,"celebratory, entertaining, heartwarming, cathartic, ambitious, comforting",bonding
NOG841901010,22629365.0,On My Way,"Alan Walker, Sabrina Carpenter, Farruko","electropop, pop, dance, electro house, electronic","pop, electronic, dance, electropop, electro house","501120, 501124, 501146, 501872, 507626","depressing, dramatic, empowering, intense, moving, lonely, vulnerable","gaming, summer, workout, sleep, study"
INZ031401549,22712663.0,,"Prem, Hardeep, Amar Arshi, Badshah, Neha Kakkar, Indeep Bakshi, Amrik Singh",,,,,
INS180461389,18035464.0,Hum Tumko Nigahon Mein,"Udit Narayan, Shreya Ghoshal",bollywood,bollywood,501219,"chill, happy, catchy, emotional, nostalgic, peaceful",running
ING642502567,144881973.0,,"Masoom Sharma, Ashu Twinkle",,,,,
INT100100081,16542753.0,,"Kumar Sanu, Alka Yagnik",,,,,
DGA0P2321511,114174908.0,Matak Chalungi,"Raj Mawar, Manisha Sharma, Aman Jaji, Sapna Chaudhary",haryanvi,haryanvi,501514,"celebratory, energetic, entertaining, festive, fun, upbeat",partying
INA090203609,13209796.0,Priya Priyathama,"Mano, Chitra",telugu,telugu,501819,"ROMANTIC, PEACEFUL",
INS171602235,13222171.0,Bulleya,"Pritam, Amit Mishra, Shilpa Rao, Ranbir Kapoor, Anushka Sharma, Aishwarya Rai Bachchan, Fawad Khan","pakistani fusion, bollywood, indian fusion, south asian classical, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","emotional, contemplative, dramatic, intimate","sleep, soft, study, driving, lofi"
INA091615177,13211471.0,Vellipomaake,"Sid Sriram, ADK, ADK",telugu,telugu,501819,"ROMANTIC, PEACEFUL, INTENSE, MELANCHOLIC, REFINED",
INS171501741,13222004.0,Gerua,"Pritam, Arijit Singh, Antara Mitra","pakistani fusion, bollywood, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","soulful, heartwarming, evocative, dreamy, intimate, mellow, soothing","soft, sleep, study, wind, driving"
INS181303779,18651888.0,Ilahi,"Pritam, Arijit Singh","pakistani fusion, indian fusion, south asian classical, bollywood, new romantic, sufi rock","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion, sufi rock","501219, 503287, 507684, 507743, 507755, 507824","affectionate, heartwarming, emotional, dreamy, empowering","soft, roadtrip, sleep, morning, study, lofi"
INUM72401063,136270324.0,Russian Bandana,Dhanda Nyoliwala,haryanvi,haryanvi,501514,"aggressive, bold, defiant, rebellious, violent","urban, revolution"
INUM72400563,128056866.0,Big Dawgs,"Hanumankind, Kalmi","hip-hop/rap, pop, trap","pop, hip-hop/rap, trap","501120, 501121, 501164","aggressive, ambitious, empowering","revolution, urban"
FRX282222813,84390312.0,Roots,Bintu Pabra,haryanvi,haryanvi,501514,"ROMANTIC, PEACEFUL, SEXY",
INZ031413795,112709712.0,,"Yo Yo Honey Singh, Rony Ajnali, Gill Machhrai",,,,,
INA090931247,13210738.0,Ekkada Ekkada,"S.P. Charan, Harini, Mahesh Babu, SonaliBindre",telugu,telugu,501819,"nostalgic, chill, free, soothing","sleep, coffee, sleeping"
INS181905922,27973146.0,,"Yash Narvekar, Parampara Tandon, Tanishk Bagchi",,,,,
INS182402662,136287965.0,"Red Sea (From ""Devara Part 1"")",Anirudh Ravichander,"tamil, telugu","tamil, telugu","501811, 501819","aggressive, intense, adrenaline, dynamic, violent","background, workout, gaming, running"
INP100300038,16965336.0,"Gulabi Ankhen - From ""The Train""",Mohammed Rafi,"playback, bollywood","bollywood, playback","501219, 505383","affectionate, devoted, nostalgic",traveling
INT109900203,13224104.0,Teri Chunnariya,"Kumar Sanu, Alka Yagnik, Himesh Reshammiya",bollywood,bollywood,501219,"affectionate, heartwarming, peaceful","coffee, driving, roadtrip, urban"
DGA0P2433028,138034744.0,Kabootri,"Diler Kharkiya, Jaizeey",haryanvi,haryanvi,501514,"celebratory, fun, relaxed, laidback, upbeat, vibrant",
INA091012544,13210896.0,Hello Rammante,"Vijay Prakash, Devan Ekambaram, D.Burn, Ramcharan, GeneliaD'Souza",telugu,telugu,501819,"chill, happy, fun, nostalgic, free, peaceful",driving
INM129800397,28095738.0,Bangaradinda,"Hamsalekha, K. J. Yesudas, Anuradha Sriram",kannadan,kannadan,501575,"ROMANTIC, PEACEFUL",
INS180461166,21642432.0,,"Hariharan, Kailash Kher",,,,,
IN-V11-92-00170,,,,,,,,
USUM71814888,21815071.0,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee","electropop, pop, hip-hop/rap, soft pop","pop, hip-hop/rap, electropop, soft pop","501120, 501121, 501872, 507814","anthemic, cheerful, cinematic, cathartic, affectionate, heartwarming, nostalgic","summer, gaming"
INS179900050,13222373.0,,"Kavita Krishnamurthy, Alka Yagnik",,,,,
INY090200015,13227207.0,,"A.R. Rahman, Sonu Nigam, Gulzar, A. R. Rahman,Sonu Nigam,Gulzar",,,,,
QMDA61505358,27063667.0,Aparanji Chinnavo,"Mano, K. S. Chithra",kannadan,kannadan,501575,ROMANTIC,
INA091816411,22591750.0,,"Chinmayi, Naga Chaitanya, Samantha, Divyansha Kaushik",,,,,
INT109800027,13224043.0,Jadoo Hai Tera,"Kumar Sanu, Alka Yagnik, Jatin-Lalit",bollywood,bollywood,501219,"inspirational, dreamy, empowering, adventurous, anthemic, mysterious","morning, wind, revolution"
IN-V11-93-00069,,,,,,,,
INS181905683,27586336.0,,"Rochak Kohli, Arijit Singh, Neha Kakkar",,,,,
IND292000868,32400240.0,,"Thaman S, Armaan Malik, Shreya Ghoshal",,,,,
INV111700211,13226187.0,,Pav Dharia,,,,,
INS180351128,22478572.0,Tere Naam,Alka Yagnik,bollywood,bollywood,501219,"chill, nostalgic, soulful, soothing, cheerful, cinematic",
USA2P2504049,143105452.0,Gundey Dore Pe,"Sachin Jaat, Masoom Sharma, Swara Verma",haryanvi,haryanvi,501514,"catchy, energetic","workout, cruising, rural"
INF171909344,31486559.0,,Hansraj Raghuwanshi,,,,,
FR59R2550770,144715798.0,"Loha Garam - From ""Rishtey""","Khesari Lal Yadav, Khushi Kakkar, Krishna Bedardi",Others,,,,
QZDA52252890,74644923.0,,Shubh,,,,,
INS180461112,17067260.0,Tumhe Jo Maine Dekha,"Abhijeet, Shreya Ghoshal, Shah Rukh Khan, Sunil Shetty, Susmit Sen, Zayed Khan, Amrita Rao","south asian classical, bollywood, indian fusion, pakistani fusion, new romantic, indian pop","bollywood, indian pop, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 501220, 503287, 507684, 507743, 507755","emotional, bittersweet, longing, nostalgic","soft, wind, roadtrip, morning"
INS181802214,20611901.0,,"Guru Randhawa, Neha Kakkar, Tanishk Bagchi, Panjabi MC, Ayushmann Khurrana, Sanya Malhotra, Gajraj Rao, Neena Gupta",,,,,
INT109300045,13223855.0,,"Kumar Sanu, Alka Yagnik, Nadeem Shravan",,,,,
INUM72500030,142233611.0,Churake,"Vilen, Kanika Kapoor",bollywood,bollywood,501219,"chill, happy",workout
INT109900002,13224057.0,Taal Se Taal,"Alka Yagnik, Udit Narayan","bollywood, south asian classical, indian fusion","bollywood, south asian classical, indian fusion","501219, 503287, 507684","affectionate, heartwarming","daydreaming, focus, reassured"
INT100700189,13223651.0,Ek Din Teri Raahon,"Javed Ali, Pritam","bollywood, south asian classical, pakistani fusion, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, dreamy, longing, emotional, melancholic","soft, sleep, wind, lofi, study"
INS181601362,16872424.0,Lo Maan Liya,Arijit Singh,"bollywood, pakistani fusion, south asian classical, new romantic, indian fusion","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","soulful, moving, melancholic, sentimental, vulnerable","sleep, lofi, soft, sleeping, wind"
INU252102389,42000671.0,,Sidhu Moose Wala,,,,,
DEE862300929,104494772.0,Car Keys (Ayla),"Alok, Ava Max","dance, electronic, electro house, house, electropop, vocal house, soulful house, tropical house, tech house, techno","electronic, dance, house, techno, tech house, electropop, electro house, soulful house, tropical house, vocal house","501124, 501146, 501175, 501176, 501815, 501872, 507626, 507816, 507852, 507864","entertaining, fun, funky","summer, dancy, partying, drinking, urban"
INS181202495,16949442.0,,Javed Ali,,,,,
INT202404272,116283542.0,"Katchi Sera - From ""Think Indie""",Sai Abhyankkar,tamil,tamil,501811,"catchy, affectionate, playful, longing",driving
INS231703899,81361164.0,Solid Body,"Raju Punjabi, Sheenam Katholic","haryanvi, punjabi trap","haryanvi, punjabi trap","501514, 507791","ROMANTIC, SEXY, INTENSE, BLUE, DARK",
INS171101346,13221002.0,Chikni Chameli,"Ajay-Atul, Shreya Ghoshal, Sanjay Dutt, Hrithik Roshan, Katrina Kaif","indian pop, indian fusion, pakistani fusion, south asian classical","indian pop, south asian classical, indian fusion, pakistani fusion","501220, 503287, 507684, 507755","provocative, dramatic, festive",dancy
INS172000675,28718493.0,"Vaathi Coming (From ""Master"")","Anirudh Ravichander, Gana Balachandar",tamil,tamil,501811,"chill, happy, hype","workout, driving"
INA091715477,13211511.0,Gudilo Badilo Madilo,"M.L.R. Karthikeyan, K. S. Chithra",telugu,telugu,501819,"carefree, celebratory, cheerful",dancy
TCAHO2323601,113966379.0,,"Sukha, Chani Nattan, Prodgk, Gurlez Akhtar",,,,,
INH100152410,13213252.0,Such Keh Raha Hai,KK,"bollywood, south asian classical, pakistani fusion, indian fusion, new romantic, sufi rock","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion, sufi rock","501219, 503287, 507684, 507743, 507755, 507824","soulful, heartwarming, laidback","sleep, soft, lofi, wind"
INA091012546,13210898.0,,"Shahil Hada, Chinmayi, GeneliaD'Souza",,,,,
INS181303778,20066010.0,,"Arijit Singh, Sunidhi Chauhan",,,,,
IN-V11-91-00015,,,,,,,,
ING642500937,143143323.0,Khoon Kharaba (feat. Lalit Tyagi & Vaishali Chaudhary),"Masoom Sharma, Ashu Twinkle, Lalit Tyagi, Vaishali Chaudhary",haryanvi,haryanvi,501514,"catchy, heavy, energetic, vibrant","cruising, rural, workout"
USA2P2353829,113730162.0,Jailer,"Masoom Sharma, Anjali99, Harsh Sandhu, Shivani Yadav",haryanvi,haryanvi,501514,"aggressive, rebellious, energetic, hype",urban
INS180021342,33181744.0,Ram Na Milenge Hanuman Ke Bina,Lakhbir Singh Lakkha,"indian ambient, indian devotional & spiritual","indian devotional & spiritual, indian ambient","503778, 503782","PEACEFUL, ROMANTIC",
INT109700001,13223980.0,Do Dil Mil Rahe Hai,"Kumar Sanu, Nadeem Shravan","bollywood, south asian classical","bollywood, south asian classical","501219, 503287","affectionate, intimate, soulful",bonding
FR96X1865579,21884594.0,,Sonu Nigam,,,,,
QM6N22488876,121048164.0,"Water Packet (From ""Raayan"")","A.R. Rahman, Santhosh Narayanan, Shweta Mohan, Gana Kadhar",tamil,tamil,501811,"energetic, upbeat, funky, celebratory, hype","dancy, partying"
INS182006822,31992890.0,,"Rochak Kohli, Jubin Nautiyal, Rashmi Virag",,,,,
INH100502935,13214490.0,,"Shreya Ghoshal, Roop Kumar Rathod, Anu Malik",,,,,
INH102408814,129380450.0,"Rabb Warga (From ""Bad Newz"")","Jubin Nautiyal, Abhijeet Srivastava, Shayra Apoorva","bollywood, new romantic, south asian classical, indian fusion, pakistani fusion","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","soulful, emotional, evocative, heartwarming, intimate, passionate, sentimental","lofi, study, focus"
INS181402052,16759375.0,,Yo Yo Honey Singh,,,,,
INA092419672,139042770.0,,"G. V. Prakash, Shree Mani, Krishna Tejasvi",,,,,
INH109238230,13215846.0,"Panna Ki Tamanna Hai (From ""Heera Panna"")","Kishore Kumar, Lata Mangeshkar, R. D. Burman",playback,playback,505383,"affectionate, happy, upbeat",traveling
INUM70500666,17601844.0,,"Mohammed Rafi, Kishore Kumar, Asha Bhosle, Usha Mangeshkar",,,,,
INUM72400819,134832391.0,Rubicon,Dhanda Nyoliwala,haryanvi,haryanvi,501514,"chill, dark, heavy, bold, intriguing","workout, gaming"
INY090800007,13227238.0,,"Vishal-Shekhar, Kausar Munir, Mahalakshmi Iyer",,,,,
INA442500164,144927521.0,,"Rohit Padaki, Charanraj MR, V.M. Mahalingam",,,,,
INH100252270,13213709.0,Jadu Hai Nasha Hai,"Shreya Ghoshal, Shaan","bollywood, south asian classical, indian fusion, pakistani fusion","bollywood, south asian classical, indian fusion, pakistani fusion","501219, 503287, 507684, 507755","intimate, emotional, affectionate, dreamy, ethereal","sleep, soft, coffee"
FR96X2562570,146223291.0,Mukadme 60,"Masoom Sharma, Ashu Twinkle",Others,,,,
INS179900054,13222377.0,Tujhe Yaad Na Meri Aayee,"Jatin-Lalit, Alka Yagnik, Manpreet Akhtar","bollywood, south asian classical","bollywood, south asian classical","501219, 503287","emotional, longing, nostalgic, sentimental, somber, soulful","soft, roadtrip, summer"
INY090400003,13227210.0,Hum Tum,"Jatin-Lalit, Alka Yagnik, Babul Supriyo, Prasoon Joshi","bollywood, south asian classical, pakistani fusion, indian fusion","bollywood, south asian classical, indian fusion, pakistani fusion","501219, 503287, 507684, 507755","affectionate, heartwarming, tender, dramatic, sentimental","soft, wind, sleep, driving, roadtrip"
INH100629786,13215088.0,,Roop Kumar Rathod,,,,,
US38Y2500560,142423682.0,Ghane Gande,Sumit Parta,"haryanvi, bollywood","bollywood, haryanvi","501219, 501514",SEXY,
INW262400703,118096634.0,Bandana,Shubh,"punjabi, punjabi trap, pakistani fusion","punjabi, pakistani fusion, punjabi trap","501717, 507755, 507791","adventurous, aggressive, assertive, rebellious",urban
